,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193612,-0.0142,-0.0724,0.0193,0.0924,0.0263,-0.004,-0.0814,-0.0204,-0.0163,-0.0118
193701,0.0245,0.0727,0.046,0.0241,0.0862,-0.0085,0.0007,0.0347,0.0261,0.0104
193702,0.0089,-0.005,0.0266,0.0149,-0.0132,-0.0306,0.0306,-0.0372,-0.0419,0.0478
193703,-0.0101,-0.0413,0.0135,0.0339,-0.0449,-0.0209,-0.0273,-0.0503,-0.0632,0.027
193704,-0.0638,-0.079,-0.0916,-0.053,-0.0762,-0.0525,-0.0724,-0.0332,-0.0747,-0.0683
193705,-0.0044,-0.0197,0.01,-0.0024,0.008,0.0153,-0.0454,0.0168,-0.0527,-0.0334
193706,-0.0324,-0.1077,-0.0361,-0.0266,-0.0146,0.0139,-0.0159,-0.0412,-0.0526,-0.0895
193707,0.0507,0.1323,0.0921,0.0842,0.0955,0.0327,0.1033,0.0414,0.1932,0.0874
193708,-0.0247,-0.0227,-0.0443,-0.0657,-0.0476,-0.0254,-0.0427,0.0109,-0.1018,-0.0834
193709,-0.0912,-0.1267,-0.1745,-0.1321,-0.1412,-0.021,-0.141,-0.1076,-0.1175,-0.1593
193710,-0.0706,-0.1288,-0.1387,-0.0695,-0.0719,-0.0536,-0.0704,-0.0355,-0.0488,-0.1012
193711,-0.0586,-0.1524,-0.0932,-0.1148,-0.0459,-0.0359,-0.1436,-0.0512,0.029,-0.0687
193712,-0.0227,-0.1627,-0.0242,-0.0125,-0.022,-0.0154,-0.0655,-0.0241,-0.1069,-0.0663
193801,0.0296,0.1105,-0.0124,0.0051,-0.0247,-0.0243,0.0592,0.0352,-0.057,0.0049
193802,0.0346,0.0347,0.0867,0.0942,0.0434,-0.0232,0.095,0.0861,0.0364,0.0488
193803,-0.1579,-0.2735,-0.2572,-0.252,-0.2772,-0.1744,-0.2219,-0.1444,-0.1961,-0.2977
193804,0.1227,0.1485,0.1388,0.1592,0.1676,0.1347,0.1618,0.1182,0.1478,0.1454
193805,-0.0023,-0.0692,-0.0689,-0.0582,-0.0299,0.0083,-0.0386,0.0171,0.0221,-0.0396
193806,0.132,0.3601,0.3289,0.2198,0.273,0.1242,0.2403,0.1007,0.169,0.2487
193807,0.0661,0.1989,0.068,0.0738,0.0585,0.0128,0.0906,0.058,0.0068,0.1001
193808,-0.0402,0.0597,-0.0192,-0.0882,-0.0119,0.0028,-0.024,0.0036,-0.0553,-0.0372
193809,0.0051,0.0069,0.0167,0.0082,0.016,0.0085,0.0006,-0.0001,0.0123,-0.0125
193810,0.0515,0.0649,0.1061,-0.0156,0.1008,0.0356,0.0804,0.0563,0.2109,0.1111
193811,-0.0249,-0.012,-0.0145,-0.0011,-0.0434,0.0065,-0.0037,0.0144,-0.0701,-0.0201
193812,0.0276,0.0212,0.0559,0.0486,0.0308,0.0257,0.0103,0.0085,0.0395,0.0634
193901,-0.0192,-0.0833,-0.0932,-0.0629,-0.075,0.0181,-0.0314,-0.0096,0.0121,-0.0866
193902,0.0246,0.0706,0.03,-0.0118,0.0276,0.0353,0.062,0.0372,0.0878,0.0469
193903,-0.0575,-0.1763,-0.1557,-0.0831,-0.1499,-0.0221,-0.0959,-0.0433,-0.1363,-0.1498
193904,0.0062,0.0072,-0.0132,-0.0106,-0.0271,0.0275,-0.0013,0.01,0.0303,-0.0181
193905,0.0547,0.0789,0.0762,0.0255,0.0828,0.0556,0.1138,0.0549,0.0661,0.0804
193906,-0.0204,-0.0678,-0.0638,-0.0612,-0.08,-0.0379,-0.027,0.011,-0.0355,-0.0764
193907,0.0622,0.1758,0.129,0.0303,0.1404,0.0651,0.0871,0.0308,0.1271,0.1157
193908,-0.0736,-0.0694,-0.0679,-0.0391,-0.0809,-0.0419,-0.0733,-0.0543,-0.0601,-0.0999
193909,0.0479,0.2372,0.27,0.2556,0.1226,0.0237,0.0159,0.0707,0.036,0.2574
193910,0.0326,-0.014,-0.0256,-0.0393,-0.0089,0.0305,0.0577,0.0021,0.0211,-0.016
193911,-0.0047,-0.0292,-0.0599,-0.0614,-0.0259,0.0097,-0.0231,0.0122,-0.0149,-0.0507
193912,0.0317,0.0388,0.0397,-0.0008,0.0361,0.0287,0.0303,0.0377,0.0295,0.024
194001,0.0169,-0.0383,-0.0463,-0.0219,-0.042,-0.0012,-0.0095,-0.0179,-0.0005,-0.0268
194002,0.0094,0.0208,0.027,0.0097,-0.0058,0.0104,0.0251,0.0148,-0.0124,0.0088
194003,0.0165,0.0378,0.0154,0.0172,0.0305,0.0116,0.0308,0.019,0.0174,0.0263
194004,0.0175,-0.0054,0.0076,0.0018,-0.0149,0.0033,-0.0013,-0.0031,-0.0135,-0.0076
194005,-0.2091,-0.2604,-0.2221,-0.2447,-0.2077,-0.1413,-0.2441,-0.2121,-0.1994,-0.2404
194006,0.0538,0.0868,0.042,0.0567,0.0301,0.0872,0.0901,0.0491,0.1743,0.0859
194007,-0.0002,0.0592,0.0433,0.0319,0.05,0.0197,0.0439,-0.0052,0.0008,0.0339
194008,0.0134,0.0739,0.0249,0.0142,0.0331,-0.0036,0.029,-0.0229,-0.0104,0.0289
194009,0.0253,0.0317,0.0414,-0.0226,0.0422,0.0166,0.0332,0.0461,-0.0219,0.0248
194010,-0.0141,0.0394,0.041,0.063,0.0243,0.0161,0.0008,-0.03,0.0382,0.0531
194011,-0.0099,-0.0063,-0.0148,0.0087,-0.0281,0.0061,-0.0215,-0.0182,-0.1306,-0.0012
194012,0.0055,-0.0329,0.0119,0.0231,-0.0009,0.0204,0.0043,-0.0023,0.0176,0.0024
194101,-0.0051,-0.0922,-0.0709,-0.0214,-0.0256,-0.021,-0.0363,-0.0219,-0.0216,-0.016
194102,-0.0249,0.0127,-0.0204,-0.0069,-0.0034,-0.0223,-0.0253,-0.0469,-0.012,-0.0031
194103,0.0056,-0.017,0.0077,0.0374,0.0034,0.0178,0.0121,0.0177,-0.0333,0.018
194104,-0.0413,-0.1057,-0.0569,0.014,-0.0883,-0.0635,-0.0522,-0.0522,-0.0961,-0.0444
194105,-0.014,0.0041,0.0366,0.0546,-0.0042,0.004,0.0227,-0.0145,-0.0443,-0.0092
194106,0.0628,0.039,0.0648,0.0522,0.1076,0.0504,0.051,0.0672,0.0394,0.045
194107,0.0553,0.0397,0.0711,0.1106,0.018,-0.0038,0.0474,0.0803,0.0533,0.0753
194108,0.0083,0.0234,-0.0065,-0.0346,0.0074,0.0106,0.0237,0.0008,-0.0206,0.002
194109,0.0178,0.0414,-0.029,-0.0066,-0.0078,0.0025,0.0043,-0.0021,-0.0283,-0.0258
194110,-0.0704,-0.0798,-0.0643,0.0219,-0.1011,-0.0272,-0.052,-0.0369,-0.0966,-0.0413
194111,-0.0315,-0.0364,-0.0139,0.0313,-0.0204,-0.0403,-0.0452,-0.0293,-0.0667,-0.0154
194112,-0.0395,-0.1179,0.0078,-0.111,0.0047,-0.0859,-0.0983,-0.0159,-0.0748,-0.0537
194201,0.0254,0.0625,-0.0219,-0.0163,0.0095,-0.0137,0.0066,-0.0299,0.0407,0.0955
194202,-0.055,0.0515,-0.0241,-0.0583,-0.0246,-0.0057,-0.0192,-0.0535,-0.0245,-0.0187
194203,-0.0829,0.0142,-0.0556,-0.0824,-0.0627,-0.0691,-0.0709,-0.0554,-0.1213,-0.0898
194204,-0.041,-0.0437,-0.0459,-0.0357,-0.0362,-0.0732,-0.0588,-0.0445,-0.0342,-0.0202
194205,0.0876,0.0995,0.0175,0.0677,0.0786,0.0772,0.1175,0.1469,0.0841,0.0354
194206,0.0355,0.0177,0.0351,0.0442,0.0458,-0.0223,0.0254,0.0285,0.0169,0.0199
194207,0.0242,0.021,0.0276,0.0605,0.0181,0.0448,0.0496,0.016,-0.0043,0.0658
194208,0.008,0.0233,0.0134,0.0354,0.0073,0.0249,0.0171,0.0243,0.0079,0.0242
194209,-0.0007,0.0259,0.0325,0.0236,0.0516,0.0204,0.0067,0.0026,0.0583,0.0338
194210,0.0451,0.0582,0.0672,0.0962,0.0627,0.0619,0.0062,0.0413,0.1513,0.0891
194211,0.0271,-0.0014,-0.0236,0.0091,0.0202,0.0263,0.0666,0.0158,-0.013,-0.0206
194212,0.0472,0.0819,0.0527,0.0749,0.0614,0.0035,0.0273,0.0869,0.0436,0.0444
194301,0.0914,0.0524,0.0698,0.064,0.098,0.0378,0.0692,0.0247,0.1469,0.0706
194302,0.0362,0.0758,0.0523,0.0791,0.0343,0.0881,0.0308,0.0364,0.0787,0.0947
194303,0.0436,0.0506,0.06,0.07,0.0742,0.0062,0.0868,0.0456,0.0468,0.1009
194304,0.0103,0.0053,-0.0143,0.0097,0.0118,0.0416,0.0187,0.014,0.0401,0.0219
194305,0.0656,0.0658,0.0537,0.0569,0.0626,0.0457,0.0749,0.0513,0.0449,0.0559
194306,0.0205,0.0485,0.0087,0.0119,0.0242,0.0227,0.0559,0.005,0.0424,-0.008
194307,-0.0187,-0.097,-0.0681,-0.0286,-0.0731,-0.0018,-0.0315,-0.0326,-0.0048,-0.0519
194308,0.0094,0.0348,0.0067,0.011,0.0049,0.0091,0.0374,0.0026,0.0187,0.0141
194309,0.0218,0.0169,0.0266,0.0141,0.0518,0.0145,0.0216,0.0402,0.0387,0.0218
194310,-0.0027,-0.0112,-0.0084,-0.0206,-0.0343,0.0073,-0.024,0.0057,0.0056,-0.0109
194311,-0.0457,-0.0532,-0.0644,-0.0693,-0.0643,-0.0174,-0.045,-0.0393,-0.0837,-0.0799
194312,0.0614,0.0794,0.059,0.072,0.08,0.0314,0.0692,0.0394,0.0741,0.0716
194401,0.0397,0.0102,0.0194,0.0061,0.0063,0.0086,0.0078,0.0029,-0.0034,0.045
194402,-0.0053,0.0368,-0.0036,0.0009,-0.0213,0.0088,0.0105,-0.0264,0.0151,0.0207
194403,0.0283,0.0477,0.0227,0.0187,0.0379,0.0074,0.0228,0.0246,0.018,0.0266
194404,-0.0195,-0.0118,-0.0203,-0.0137,-0.0192,-0.0057,-0.01,-0.0236,-0.0092,-0.0246
194405,0.0533,0.0791,0.0556,0.0497,0.0363,0.0283,0.0507,0.0568,0.0278,0.0427
194406,0.0564,0.0931,0.071,0.0053,0.0749,0.0321,0.0583,0.0385,0.0486,0.0595
194407,-0.0035,-0.0493,-0.0195,-0.0121,-0.0182,-0.0037,-0.0008,-0.0124,0.0023,-0.0077
194408,0.0256,0.0398,0.0216,-0.0194,0.0196,0.0067,0.0312,0.0076,0.0362,0.0036
194409,-0.0023,0.0061,0.0055,-0.0138,-0.0065,0.0027,0.0181,0.0043,-0.0151,0.001
194410,-0.0003,-0.0274,-0.0033,0.0187,0.0082,0.0075,0.0044,0.0109,0.0135,0.0067
194411,0.0127,0.0222,0.0086,0.0263,0.0159,0.007,0.0279,0.0052,-0.0039,0.0431
194412,0.0203,0.0397,0.0424,0.0514,0.0464,0.0072,0.0215,0.0171,0.0312,0.0846
194501,0.0264,0.0137,0.028,0.0492,0.0067,-0.0211,0.0007,0.0056,0.0569,0.0062
194502,0.0395,0.0765,0.0695,0.0731,0.066,0.0285,0.0452,0.0425,0.0608,0.0789
194503,-0.03,-0.0603,-0.0478,-0.0525,-0.0381,-0.0011,-0.0137,-0.0183,-0.0308,-0.0353
194504,0.071,0.1115,0.0841,0.069,0.0805,0.0251,0.0716,0.0633,0.1011,0.0881
194505,0.0233,0.0078,0.008,-0.0087,0.0182,0.0376,0.0626,0.0411,0.0188,0.0311
194506,0.0089,-0.0153,-0.0015,-0.005,-0.0188,0.0262,-0.0314,-0.0465,0.0514,0.0448
194507,-0.0144,-0.0098,-0.0299,-0.0323,-0.0173,0.0218,-0.0011,-0.0162,-0.0037,-0.0548
194508,0.0772,0.0941,0.0883,0.0222,0.0974,0.0174,0.0822,0.0919,0.0106,0.0252
194509,0.0628,0.0274,0.0617,0.0198,0.034,0.019,0.0564,0.0651,0.0656,0.0608
194510,0.0677,0.002,0.0228,0.0633,0.0076,0.0236,0.0596,0.0661,0.0607,0.0576
194511,0.0368,0.0262,0.0484,0.0837,0.027,0.0339,0.0692,0.0858,0.0479,0.0911
194512,0.0129,0.0254,0.0156,-0.0024,0.0263,0.0048,0.0346,0.0153,-0.01,0.0015
194601,0.0485,0.0667,0.08,-0.0007,0.0645,0.0191,0.1098,0.0776,0.1082,0.0738
194602,-0.0482,-0.0894,-0.0609,-0.0467,-0.0736,-0.0282,-0.0423,-0.0431,-0.0571,-0.0614
194603,0.0635,0.0098,0.0567,0.1104,0.0215,0.0116,0.114,0.1457,0.0625,0.0468
